instant,dteday,season,yr,mnth,holiday,weekday,workingday,weathersit,temp,atemp,hum,windspeed,casual,registered,cnt,season_name,weather_name,year_name,weekday_name,temp_c,atemp_c,hum_pct,windspeed_kmh,temp_group
98,2011-04-08,2,0,4,0,5,1,2,0.335833,0.324479,0.83625,0.226992,172,1299,1471,Summer,Mist/Cloudy,2011,Fri,13.77,16.22,83.62,15.21,Mild (12-22°C)
99,2011-04-09,2,0,4,0,6,0,2,0.3425,0.341529,0.8775,0.133083,879,1576,2455,Summer,Mist/Cloudy,2011,Sat,14.04,17.08,87.75,8.92,Mild (12-22°C)
100,2011-04-10,2,0,4,0,0,0,2,0.426667,0.426737,0.8575,0.146767,1188,1707,2895,Summer,Mist/Cloudy,2011,Sun,17.49,21.34,85.75,9.83,Mild (12-22°C)
101,2011-04-11,2,0,4,0,1,1,2,0.595652,0.565217,0.716956,0.324474,855,2493,3348,Summer,Mist/Cloudy,2011,Mon,24.42,28.26,71.7,21.74,Warm (>22°C)
102,2011-04-12,2,0,4,0,2,1,2,0.5025,0.493054,0.739167,0.274879,257,1777,2034,Summer,Mist/Cloudy,2011,Tue,20.6,24.65,73.92,18.42,Mild (12-22°C)
103,2011-04-13,2,0,4,0,3,1,2,0.4125,0.417283,0.819167,0.250617,209,1953,2162,Summer,Mist/Cloudy,2011,Wed,16.91,20.86,81.92,16.79,Mild (12-22°C)
104,2011-04-14,2,0,4,0,4,1,1,0.4675,0.462742,0.540417,0.1107,529,2738,3267,Summer,Clear/Partly Cloudy,2011,Thu,19.17,23.14,54.04,7.42,Mild (12-22°C)
105,2011-04-15,2,0,4,1,5,0,1,0.446667,0.441913,0.67125,0.226375,642,2484,3126,Summer,Clear/Partly Cloudy,2011,Fri,18.31,22.1,67.12,15.17,Mild (12-22°C)
106,2011-04-16,2,0,4,0,6,0,3,0.430833,0.425492,0.888333,0.340808,121,674,795,Summer,Light Snow/Rain,2011,Sat,17.66,21.27,88.83,22.83,Mild (12-22°C)
107,2011-04-17,2,0,4,0,0,0,1,0.456667,0.445696,0.479583,0.303496,1558,2186,3744,Summer,Clear/Partly Cloudy,2011,Sun,18.72,22.28,47.96,20.33,Mild (12-22°C)
108,2011-04-18,2,0,4,0,1,1,1,0.5125,0.503146,0.5425,0.163567,669,2760,3429,Summer,Clear/Partly Cloudy,2011,Mon,21.01,25.16,54.25,10.96,Mild (12-22°C)
109,2011-04-19,2,0,4,0,2,1,2,0.505833,0.489258,0.665833,0.157971,409,2795,3204,Summer,Mist/Cloudy,2011,Tue,20.74,24.46,66.58,10.58,Mild (12-22°C)
110,2011-04-20,2,0,4,0,3,1,1,0.595,0.564392,0.614167,0.241925,613,3331,3944,Summer,Clear/Partly Cloudy,2011,Wed,24.4,28.22,61.42,16.21,Warm (>22°C)
111,2011-04-21,2,0,4,0,4,1,1,0.459167,0.453892,0.407083,0.325258,745,3444,4189,Summer,Clear/Partly Cloudy,2011,Thu,18.83,22.69,40.71,21.79,Mild (12-22°C)
112,2011-04-22,2,0,4,0,5,1,2,0.336667,0.321954,0.729583,0.219521,177,1506,1683,Summer,Mist/Cloudy,2011,Fri,13.8,16.1,72.96,14.71,Mild (12-22°C)
113,2011-04-23,2,0,4,0,6,0,2,0.46,0.450121,0.887917,0.230725,1462,2574,4036,Summer,Mist/Cloudy,2011,Sat,18.86,22.51,88.79,15.46,Mild (12-22°C)
114,2011-04-24,2,0,4,0,0,0,2,0.581667,0.551763,0.810833,0.192175,1710,2481,4191,Summer,Mist/Cloudy,2011,Sun,23.85,27.59,81.08,12.88,Warm (>22°C)
115,2011-04-25,2,0,4,0,1,1,1,0.606667,0.5745,0.776667,0.185333,773,3300,4073,Summer,Clear/Partly Cloudy,2011,Mon,24.87,28.72,77.67,12.42,Warm (>22°C)
116,2011-04-26,2,0,4,0,2,1,1,0.631667,0.594083,0.729167,0.3265,678,3722,4400,Summer,Clear/Partly Cloudy,2011,Tue,25.9,29.7,72.92,21.88,Warm (>22°C)
117,2011-04-27,2,0,4,0,3,1,2,0.62,0.575142,0.835417,0.3122,547,3325,3872,Summer,Mist/Cloudy,2011,Wed,25.42,28.76,83.54,20.92,Warm (>22°C)
118,2011-04-28,2,0,4,0,4,1,2,0.6175,0.578929,0.700833,0.320908,569,3489,4058,Summer,Mist/Cloudy,2011,Thu,25.32,28.95,70.08,21.5,Warm (>22°C)
119,2011-04-29,2,0,4,0,5,1,1,0.51,0.497463,0.457083,0.240063,878,3717,4595,Summer,Clear/Partly Cloudy,2011,Fri,20.91,24.87,45.71,16.08,Mild (12-22°C)
120,2011-04-30,2,0,4,0,6,0,1,0.4725,0.464021,0.503333,0.235075,1965,3347,5312,Summer,Clear/Partly Cloudy,2011,Sat,19.37,23.2,50.33,15.75,Mild (12-22°C)
121,2011-05-01,2,0,5,0,0,0,2,0.451667,0.448204,0.762083,0.106354,1138,2213,3351,Summer,Mist/Cloudy,2011,Sun,18.52,22.41,76.21,7.13,Mild (12-22°C)
122,2011-05-02,2,0,5,0,1,1,2,0.549167,0.532833,0.73,0.183454,847,3554,4401,Summer,Mist/Cloudy,2011,Mon,22.52,26.64,73.0,12.29,Warm (>22°C)
123,2011-05-03,2,0,5,0,2,1,2,0.616667,0.582079,0.697083,0.342667,603,3848,4451,Summer,Mist/Cloudy,2011,Tue,25.28,29.1,69.71,22.96,Warm (>22°C)
124,2011-05-04,2,0,5,0,3,1,2,0.414167,0.40465,0.737083,0.328996,255,2378,2633,Summer,Mist/Cloudy,2011,Wed,16.98,20.23,73.71,22.04,Mild (12-22°C)
125,2011-05-05,2,0,5,0,4,1,1,0.459167,0.441917,0.444167,0.295392,614,3819,4433,Summer,Clear/Partly Cloudy,2011,Thu,18.83,22.1,44.42,19.79,Mild (12-22°C)
126,2011-05-06,2,0,5,0,5,1,1,0.479167,0.474117,0.59,0.228246,894,3714,4608,Summer,Clear/Partly Cloudy,2011,Fri,19.65,23.71,59.0,15.29,Mild (12-22°C)
127,2011-05-07,2,0,5,0,6,0,1,0.52,0.512621,0.54125,0.16045,1612,3102,4714,Summer,Clear/Partly Cloudy,2011,Sat,21.32,25.63,54.12,10.75,Mild (12-22°C)
128,2011-05-08,2,0,5,0,0,0,1,0.528333,0.518933,0.631667,0.0746375,1401,2932,4333,Summer,Clear/Partly Cloudy,2011,Sun,21.66,25.95,63.17,5.0,Mild (12-22°C)
129,2011-05-09,2,0,5,0,1,1,1,0.5325,0.525246,0.58875,0.176,664,3698,4362,Summer,Clear/Partly Cloudy,2011,Mon,21.83,26.26,58.88,11.79,Mild (12-22°C)
130,2011-05-10,2,0,5,0,2,1,1,0.5325,0.522721,0.489167,0.115671,694,4109,4803,Summer,Clear/Partly Cloudy,2011,Tue,21.83,26.14,48.92,7.75,Mild (12-22°C)
131,2011-05-11,2,0,5,0,3,1,1,0.5425,0.5284,0.632917,0.120642,550,3632,4182,Summer,Clear/Partly Cloudy,2011,Wed,22.24,26.42,63.29,8.08,Warm (>22°C)
132,2011-05-12,2,0,5,0,4,1,1,0.535,0.523363,0.7475,0.189667,695,4169,4864,Summer,Clear/Partly Cloudy,2011,Thu,21.94,26.17,74.75,12.71,Mild (12-22°C)
133,2011-05-13,2,0,5,0,5,1,2,0.5125,0.4943,0.863333,0.179725,692,3413,4105,Summer,Mist/Cloudy,2011,Fri,21.01,24.72,86.33,12.04,Mild (12-22°C)
134,2011-05-14,2,0,5,0,6,0,2,0.520833,0.500629,0.9225,0.13495,902,2507,3409,Summer,Mist/Cloudy,2011,Sat,21.35,25.03,92.25,9.04,Mild (12-22°C)
135,2011-05-15,2,0,5,0,0,0,2,0.5625,0.536,0.867083,0.152979,1582,2971,4553,Summer,Mist/Cloudy,2011,Sun,23.06,26.8,86.71,10.25,Warm (>22°C)
136,2011-05-16,2,0,5,0,1,1,1,0.5775,0.550512,0.787917,0.126871,773,3185,3958,Summer,Clear/Partly Cloudy,2011,Mon,23.68,27.53,78.79,8.5,Warm (>22°C)
137,2011-05-17,2,0,5,0,2,1,2,0.561667,0.538529,0.837917,0.277354,678,3445,4123,Summer,Mist/Cloudy,2011,Tue,23.03,26.93,83.79,18.58,Warm (>22°C)
138,2011-05-18,2,0,5,0,3,1,2,0.55,0.527158,0.87,0.201492,536,3319,3855,Summer,Mist/Cloudy,2011,Wed,22.55,26.36,87.0,13.5,Warm (>22°C)
